	sequences per sample	iteration	E3.7.Pav.vari.1.20150124.T	E3.5.Gal.astr.1.20150124.T	E1.5.Gal.astr.1.20140728.T	E7.6.Acr.hyac.3.20150622.T	E3.7.Pav.vari.2.20150124.T	E1.7.Pav.vari.1.20140805.T	E7.7.Pav.vari.2.20150622.T	E3.6.Acr.hyac.4.20150105.T	E1.5.Gal.astr.1.20140905.T	E3.6.Acr.hyac.4.20150106.T	E7.10.Ser.cali.1.20150622.T	E10.Ser.cali.3.20150627.T	E7.6.Acr.hyac.1.20150622.T	E7.6.Acr.hyac.2.20150622.T	E7.10.Poc.dami.3.20150621.T	E10.Poc.dami.1.20150628.T	E7.10.Ser.cali.3.20150622.T	E7.10.Poc.dami.1.20150621.T	E7.10.Poc.dami.2.20150621.T	E7.10.Ser.cali.2.20150622.T	E10.Poc.dami.2.20150628.T
alpha_rarefaction_271_4.txt	271	4	179.0	109.0	196.0	32.0	170.0	202.0	173.0	25.0	204.0	19.0	42.0	39.0	21.0	26.0	38.0	7.0	41.0	32.0	40.0	27.0	13.0
alpha_rarefaction_271_5.txt	271	5	180.0	114.0	196.0	34.0	165.0	204.0	171.0	26.0	201.0	19.0	38.0	39.0	22.0	27.0	39.0	8.0	40.0	34.0	43.0	27.0	12.0
alpha_rarefaction_271_6.txt	271	6	176.0	112.0	199.0	33.0	169.0	203.0	173.0	24.0	198.0	19.0	42.0	40.0	22.0	27.0	39.0	6.0	41.0	36.0	41.0	27.0	13.0
alpha_rarefaction_271_7.txt	271	7	176.0	106.0	197.0	33.0	170.0	203.0	173.0	22.0	201.0	19.0	41.0	39.0	23.0	27.0	39.0	8.0	42.0	33.0	40.0	25.0	12.0
alpha_rarefaction_271_8.txt	271	8	182.0	112.0	202.0	33.0	167.0	206.0	171.0	26.0	198.0	17.0	40.0	39.0	23.0	27.0	36.0	7.0	42.0	36.0	43.0	27.0	13.0
alpha_rarefaction_271_9.txt	271	9	178.0	108.0	197.0	33.0	169.0	212.0	172.0	25.0	200.0	19.0	38.0	40.0	21.0	26.0	40.0	7.0	40.0	34.0	45.0	28.0	12.0
alpha_rarefaction_300_0.txt	300	0	196.0	120.0	216.0	34.0	183.0	224.0	190.0	26.0	218.0	19.0	43.0	41.0	23.0	27.0	41.0	8.0	42.0	36.0	45.0	28.0	13.0
alpha_rarefaction_300_1.txt	300	1	196.0	120.0	216.0	34.0	183.0	224.0	190.0	26.0	218.0	19.0	43.0	41.0	23.0	27.0	41.0	8.0	42.0	36.0	45.0	28.0	13.0
alpha_rarefaction_300_2.txt	300	2	196.0	120.0	216.0	34.0	183.0	224.0	190.0	26.0	218.0	19.0	43.0	41.0	23.0	27.0	41.0	8.0	42.0	36.0	45.0	28.0	13.0
alpha_rarefaction_300_3.txt	300	3	196.0	120.0	216.0	34.0	183.0	224.0	190.0	26.0	218.0	19.0	43.0	41.0	23.0	27.0	41.0	8.0	42.0	36.0	45.0	28.0	13.0
alpha_rarefaction_300_4.txt	300	4	196.0	120.0	216.0	34.0	183.0	224.0	190.0	26.0	218.0	19.0	43.0	41.0	23.0	27.0	41.0	8.0	42.0	36.0	45.0	28.0	13.0
alpha_rarefaction_300_5.txt	300	5	196.0	120.0	216.0	34.0	183.0	224.0	190.0	26.0	218.0	19.0	43.0	41.0	23.0	27.0	41.0	8.0	42.0	36.0	45.0	28.0	13.0
alpha_rarefaction_300_6.txt	300	6	196.0	120.0	216.0	34.0	183.0	224.0	190.0	26.0	218.0	19.0	43.0	41.0	23.0	27.0	41.0	8.0	42.0	36.0	45.0	28.0	13.0
alpha_rarefaction_300_7.txt	300	7	196.0	120.0	216.0	34.0	183.0	224.0	190.0	26.0	218.0	19.0	43.0	41.0	23.0	27.0	41.0	8.0	42.0	36.0	45.0	28.0	13.0
